,title,distributor,genre,release_time,time,screening_rat,director,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num
0,개들의 전쟁,롯데엔터테인먼트,액션,2012-11-22,96분,청소년 관람불가,조병옥,,0,91,2,23398명
1,내부자들,(주)쇼박스,느와르,2015-11-19,130분,청소년 관람불가,우민호,1161602.5,2,387,3,7072501명
2,은밀하게 위대하게,(주)쇼박스,액션,2013-06-05,123분,15세 관람가,장철수,220775.25,4,343,4,6959083명
3,나는 공무원이다,(주)NEW,코미디,2012-07-12,101분,전체 관람가,구자홍,23894.0,2,20,6,217866명
4,불량남녀,쇼박스(주)미디어플렉스,코미디,2010-11-04,108분,15세 관람가,신근호,1.0,1,251,2,483387명
5,강철대오 : 구국의 철가방,롯데엔터테인먼트,코미디,2012-10-25,113분,15세 관람가,육상효,837969.0,2,262,4,233211명
6,길위에서,백두대간,다큐멘터리,2013-05-23,104분,전체 관람가,이창재,,0,32,5,53526명
7,회사원,(주)쇼박스,액션,2012-10-11,96분,청소년 관람불가,임상윤,739522.0,3,342,2,1110523명
8,"1789, 바스티유의 연인들",유니버설픽쳐스인터내셔널코리아,뮤지컬,2014-09-18,129분,전체 관람가,정성복,,0,3,5,4778명
9,청춘그루브,(주)두타연,드라마,2012-03-15,94분,15세 관람가,변성현,,0,138,3,868명
10,AV 아이돌,(주) 케이알씨지,멜로/로맨스,2015-07-27,89분,청소년 관람불가,조조 히데오,,0,0,4,745명
11,무서운 집,(주)콘텐츠 윙,공포,2015-07-30,98분,12세 관람가,양병간,,0,0,1,1079명
12,해로,(주)키노아이,드라마,2012-03-22,113분,12세 관람가,최종태,431231.0,1,14,2,5851명
13,짓,(주)팝 파트너스,서스펜스,2013-09-25,107분,청소년 관람불가,한종훈,534232.5,2,15,4,23052명
14,철가방 우수氏,CJ E&M 영화부문,드라마,2012-11-22,100분,12세 관람가,윤학렬,,0,152,1,92404명
15,자유의 언덕,(주) 영화제작전원사,드라마,2014-09-04,67분,청소년 관람불가,홍상수,,0,52,3,39317명
16,써니,CJ E&M Pictures,코미디,2011-05-04,124분,15세 관람가,강형철,8223342.0,1,572,11,7453715명
